Tiempo inicio de picado,Tiempo Fin de picado,Amplitud,Excepción
2018-01-20T09:36:26.940000Z,2018-01-20T09:36:46.640000Z,1747.4060459376358,No
2018-01-20T13:59:12.200000Z,2018-01-20T13:59:27.220000Z,746.7695204297193,No
2018-01-20T14:24:56.060000Z,2018-01-20T14:25:15.240000Z,779.1564670882083,No
2018-01-20T15:43:53.080000Z,2018-01-20T15:46:30.960000Z,667.766107495209,Si.
2018-01-20T16:12:58.020000Z,2018-01-20T16:13:17.140000Z,596.4462054322619,No
2018-01-20T16:44:34.900000Z,2018-01-20T16:44:55.440000Z,3479.499728700052,No
2018-01-20T17:53:23.640000Z,2018-01-20T17:53:36.040000Z,1485.9738876662711,No
2018-01-20T20:17:08.020000Z,2018-01-20T20:17:22.700000Z,777.5931639105438,No
2018-01-20T21:45:43.520000Z,2018-01-20T21:46:01.160000Z,1076.271618464165,No
2018-01-20T22:07:09.120000Z,2018-01-20T22:07:25.220000Z,1220.7364251657987,No
2018-01-20T23:09:30.340000Z,2018-01-20T23:09:45.320000Z,580.5153843814697,No
2018-01-21T01:11:12.080000Z,2018-01-21T01:12:52.720000Z,3235.353831644393,No
2018-01-21T02:10:00.200000Z,2018-01-21T02:10:17.320000Z,596.6727357404245,No
2018-01-21T03:06:50.300000Z,2018-01-21T03:07:05.440000Z,845.1205328813367,No
