Resultados

 Tiempo inicio de picado, Tiempo Fin de picado 
2018-01-19T15:37:11.380000Z, 2018-01-19T15:37:38.220000Z
2018-01-19T16:06:19.580000Z, 2018-01-19T16:06:38.760000Z
2018-01-19T16:29:10.720000Z, 2018-01-19T16:29:30.660000Z
2018-01-19T16:52:17.680000Z, 2018-01-19T16:52:36.720000Z
2018-01-19T17:07:56.600000Z, 2018-01-19T17:08:14.940000Z
2018-01-19T17:09:42.960000Z, 2018-01-19T17:10:01.600000Z
2018-01-19T22:32:21.540000Z, 2018-01-19T22:33:51.620000Z
2018-01-19T23:31:48.560000Z, 2018-01-19T23:32:05.440000Z
2018-01-20T02:03:56.320000Z, 2018-01-20T02:04:10.060000Z
2018-01-20T03:36:09.920000Z, 2018-01-20T03:36:23.860000Z
2018-01-20T04:07:23.100000Z, 2018-01-20T04:07:42.520000Z
2018-01-20T04:47:30.920000Z, 2018-01-20T04:47:41.400000Z
2018-01-20T05:12:16.300000Z, 2018-01-20T05:12:36.020000Z
2018-01-20T08:08:28.100000Z, 2018-01-20T08:08:41.200000Z
2018-01-20T08:21:16.260000Z, 2018-01-20T08:23:55.280000Z
2018-01-20T09:36:26.940000Z, 2018-01-20T09:36:46.640000Z
2018-01-20T13:59:12.200000Z, 2018-01-20T13:59:27.220000Z
2018-01-20T14:02:46.760000Z, 2018-01-20T14:05:25.940000Z
2018-01-20T14:24:56.060000Z, 2018-01-20T14:25:15.240000Z
2018-01-20T14:50:24.740000Z, 2018-01-20T14:53:02.720000Z
2018-01-20T15:43:53.080000Z, 2018-01-20T15:46:30.960000Z
2018-01-20T16:12:58.020000Z, 2018-01-20T16:13:17.140000Z
2018-01-20T16:44:34.900000Z, 2018-01-20T16:44:55.440000Z
2018-01-20T17:53:23.640000Z, 2018-01-20T17:53:36.040000Z
2018-01-20T18:19:39.140000Z, 2018-01-20T18:22:19.220000Z
2018-01-20T20:17:08.020000Z, 2018-01-20T20:17:22.700000Z
2018-01-20T21:15:53.340000Z, 2018-01-20T21:16:11.020000Z
2018-01-20T21:17:26.260000Z, 2018-01-20T21:17:44.940000Z
2018-01-20T21:45:43.520000Z, 2018-01-20T21:46:01.160000Z
2018-01-20T22:07:09.120000Z, 2018-01-20T22:07:25.220000Z
2018-01-20T23:09:30.340000Z, 2018-01-20T23:09:45.320000Z
2018-01-21T01:11:12.080000Z, 2018-01-21T01:12:52.720000Z
2018-01-21T02:10:00.200000Z, 2018-01-21T02:10:17.320000Z
2018-01-21T03:06:50.300000Z, 2018-01-21T03:07:05.440000Z
2018-01-21T03:15:52.580000Z, 2018-01-21T03:17:02.920000Z
2018-01-21T03:23:18.820000Z, 2018-01-21T03:23:38.980000Z
2018-01-21T06:47:45.040000Z, 2018-01-21T06:48:09.600000Z
2018-01-21T07:31:54.600000Z, 2018-01-21T07:33:36.000000Z
2018-01-21T10:24:05.040000Z, 2018-01-21T10:24:28.540000Z
2018-01-21T10:28:40.460000Z, 2018-01-21T10:28:57.200000Z
2018-01-21T11:09:59.120000Z, 2018-01-21T11:10:18.360000Z
2018-01-21T11:52:25.420000Z, 2018-01-21T11:53:08.120000Z
